관리번호,주소,교차로명,교차로번호,설치일자,신호등 종류,신호등 재질,신호등 전구,경도,위도
18083,동구 하소동 752 도,제2시립노인병원(경),1846,2010-05-20,경보등,LED,3색등,127.4394964,36.21279523
18082,동구 하소동 752 도,제2시립노인병원(경),1846,2010-05-20,경보등,LED,3색등,127.4394815,36.21280826
18081,동구 낭월동 674도,산내주공오거리,533,2005-09-14,보행등,LED,2색등,127.4660964,36.28375085
18080,동구 상소동 563-2도,산흥초교(단),258,1997-08-31,차량등,LED,3색등,127.4481197,36.22796808
18079,동구 상소동 563-2도,산흥초교(단),258,1997-08-31,차량등,LED,3색등,127.4481207,36.22798636
18078,동구 상소동 563-2도,산흥초교(단),258,1997-08-31,차량등,LED,3색등,127.4481197,36.22796808
18077,동구 상소동 1085-3도,산흥초교(단),258,1997-08-31,보행등,LED,2색등,127.4483107,36.22792306
18076,동구 상소동 563-2도,산흥초교(단),258,1997-08-31,보행등,LED,2색등,127.4483301,36.22799833
18075,동구 상소동 1085-3도,산흥초교(단),258,1997-08-31,차량등,LED,3색등,127.4484498,36.22792731
18074,동구 상소동 563-2도,산흥초교(단),258,1997-08-31,차량등,LED,3색등,127.4484504,36.22794534
18073,동구 상소동 563-2도,산흥초교(단),258,1997-08-31,차량등,LED,3색등,127.4484504,36.22794534
18072,동구 삼괴동 252-1도,천주교공원묘지(경),1830,1996-12-18,경보등,LED,3색등,127.477964,36.2526127
18071,동구 삼괴동 252-1도,천주교공원묘지(경),1830,1996-12-18,경보등,LED,3색등,127.477964,36.2526127
18070,동구 낭월동 291도,석천들삼거리,1307,2005-09-14,보행등,LED,2색등,127.4703058,36.27602392
18068,동구 낭월동 106-3도,석천들삼거리,1307,2005-09-14,보행등,LED,2색등,127.4702254,36.27597321
18067,동구 낭월동 291도,석천들삼거리,1307,2005-09-14,차량등,LED,3색등,127.4702602,36.27598695
18066,동구 낭월동 106-2도,석천들삼거리,1307,2005-09-14,차량등,LED,3색등,127.4702469,36.27598172
18065,동구 구도동 153도,구도동 종점,1827,1992-12-30,경보등,LED,3색등,127.4731571,36.2737184
18064,동구 구도동 153도,구도동 종점,1827,1992-12-30,경보등,LED,3색등,127.4731571,36.2737184
18063,동구 구도동 20도,삼괴동(경),1850,2012-04-13,경보등,LED,3색등,127.4819571,36.26458566
18062,동구 삼괴동 129도,삼괴(단),1281,2008-01-09,보행등,LED,2색등,127.4788615,36.25764727
18061,동구 삼괴동 129도,삼괴(단),1281,2008-01-09,차량등,LED,3색등,127.4786432,36.25764633
18060,동구 삼괴동 129도,삼괴(단),1281,2008-01-09,차량등,LED,3색등,127.4787972,36.25767478
18059,동구 삼괴동 129도,삼괴(단),1281,2008-01-09,차량등,LED,3색등,127.4788193,36.25766534
18058,동구 삼괴동 129도,삼괴(단),1281,2008-01-09,차량등,LED,3색등,127.4787972,36.25767478
18057,동구 삼괴동 129도,삼괴(단),1281,2008-01-09,보행등,LED,2색등,127.4785478,36.25768046
18056,동구 삼괴동 129도,삼괴(단),1281,2008-01-09,차량등,LED,3색등,127.4786432,36.25764633
18055,동구 삼괴동 129도,삼괴(단),1281,2008-01-09,차량등,LED,3색등,127.4786154,36.25765627
18054,동구 구도동 313-43천,삼괴삼거리,1280,2008-12-30,차량등,LED,3색등,127.4807271,36.266751
18053,동구 구도동 313-78제,삼괴삼거리,1280,2008-12-30,차량등,LED,3색등,127.4807553,36.26676554
18052,동구 구도동 313-43천,삼괴삼거리,1280,2008-12-30,차량등,LED,3색등,127.4807271,36.266751
18051,동구 구도동 16-2제,삼괴삼거리,1280,2008-12-30,차량등,LED,3색등,127.4808663,36.26671895
18050,동구 구도동 16-2제,삼괴삼거리,1280,2008-12-30,차량등,LED,3색등,127.4808519,36.26673643
18049,동구 구도동 313-43천,삼괴삼거리,1280,2008-12-30,차량등,LED,3색등,127.4807556,36.26653763
18048,동구 구도동 313-43천,삼괴삼거리,1280,2008-12-30,차량등,LED,3색등,127.4807556,36.26653763
18047,동구 구도동 10도,삼괴삼거리,1280,2008-12-30,차량등,LED,3색등,127.480728,36.26652171
18046,동구 구도동 313-83 도,낭월차고지(경),1844,2013-12-06,경보등,LED,3색등,127.4784714,36.26903549
